"Daily Weather Observations for Cairns, Queensland for December 2021",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Thursday  5 May 2022   IDCJDW4024.202112,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Cairns Aero {station 031011},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/12/2021,24.8,33.3,0,,,E,31,14:42,30.6,64,,SE,6,1009.8,32,61,8,ESE,19,1006.5
,2/12/2021,24.7,34.8,0,,,ENE,33,12:34,31.3,62,,SSE,15,1010.1,33.5,55,2,E,24,1007.1
,3/12/2021,25,34.4,0,,,E,33,12:50,31.1,62,1,SSE,13,1011.5,33.2,57,2,E,22,1008.4
,4/12/2021,24.7,34.3,0,,,SE,44,16:47,31.7,58,,SSE,24,1010.5,32.6,53,,ESE,30,1007
,5/12/2021,23.3,34.1,0,,,SE,50,10:43,30.5,53,,SSE,20,1008.9,32.5,42,,ESE,31,1006.4
,6/12/2021,25.1,34.2,0,,,SE,44,12:01,30.9,58,,SE,20,1009.3,32.2,50,,ESE,26,1006.4
,7/12/2021,25.8,32.8,0.2,,,ESE,41,15:13,26,90,8,ENE,17,1010.9,31,61,8,ESE,28,1008
,8/12/2021,24.6,33.6,2.8,,,SE,33,10:04,28.7,69,1,S,15,1011,31.7,61,1,ENE,20,1007.2
,9/12/2021,24.5,32.5,0,,,ENE,24,11:27,30.9,63,4,SSE,9,1009.8,30.5,67,2,NE,15,1005.5
,10/12/2021,24,31.7,6,,,SSE,20,0:20,27.7,71,8,N,2,1009,30.2,66,6,NNE,13,1005.4
,11/12/2021,22.8,32.3,0.8,,,N,22,11:47,30.2,62,,ESE,6,1008.5,31.4,68,4,NNE,13,1004.6
,12/12/2021,24.9,33.3,4.2,,,ENE,35,15:19,30.3,68,,SSE,11,1008.5,32.1,60,,ENE,20,1005
,13/12/2021,25.5,33.9,0.2,,,SE,41,12:55,31.5,60,1,SE,17,1008.5,30.2,58,7,SSE,17,1006.6
,14/12/2021,23,34.3,0,,,SE,39,9:40,30.3,57,,SSE,17,1010.2,33,40,,ESE,24,1007.2
,15/12/2021,22.8,33.7,0,,,ENE,37,13:26,29.2,60,8,SSE,9,1011,31.6,52,1,ENE,22,1007.7
,16/12/2021,23.6,33.7,0,,,E,35,13:00,28.7,64,8,SSE,11,1010.9,32.6,45,1,E,22,1008
,17/12/2021,24.5,33.6,0,,,ENE,37,13:42,30,54,5,ESE,9,1010.8,32.5,50,,E,24,1007.5
,18/12/2021,25,34.5,0,,,ESE,48,13:54,29.7,59,8,SSE,17,1011.6,28.8,72,8,ESE,24,1009.9
,19/12/2021,22.9,33.2,7.4,,,ESE,37,14:52,29.2,65,1,SSE,17,1012.5,30.1,58,8,ESE,26,1009.8
,20/12/2021,22.9,34.5,0.4,,,ESE,37,15:50,30,59,,S,15,1011.8,32.7,49,,E,20,1009.1
,21/12/2021,23.5,32.9,0.2,,,E,44,11:07,29.8,66,1,SSE,13,1011.6,31.2,54,8,E,19,1008.9
,22/12/2021,24.4,33.5,6.8,,,S,33,3:57,30.3,54,,SSE,11,1010.6,31.3,59,,ENE,20,1006.8
,23/12/2021,22.9,33.2,0,,,NE,31,13:42,30.7,54,,SSE,6,1009.2,31.3,61,,NNE,15,1006.7
,24/12/2021,23.7,33.7,0,,,NNE,24,12:29,30.4,60,,NE,7,1008.6,32,57,,NNE,15,1006.1
,25/12/2021,25.5,33.7,0,,,NNE,26,10:35,31.1,59,4,NNE,6,1008.6,30,70,8,NE,13,1006.1
,26/12/2021,24.9,34.3,0.6,,,SSE,28,10:08,28.9,63,,WNW,4,1009.3,30.8,65,8,NE,13,1005.3
,27/12/2021,23.4,31.7,5.4,,,SSW,30,14:53,28.4,70,7,NNW,2,1007.6,25.1,88,8,S,19,1005.4
,28/12/2021,23.1,29.3,13.2,,,WSW,19,4:28,26.8,77,7,SE,6,1006.9,26.2,83,8,SSE,2,1004.6
,29/12/2021,22.6,26.7,20.2,,,S,43,18:42,24,90,8,SSE,15,1005.3,23.9,96,8,SSE,15,1002.1
,30/12/2021,23.2,31,43.8,,,SSE,37,0:37,24.9,93,8,W,7,1001.1,30.2,65,8,SSE,2,999.4
,31/12/2021,22.1,32.3,5,,,SE,26,8:56,29.5,60,8,SSE,15,1006.3,28.2,77,8,SSE,17,1004.5
,,,,,,,,,,,,,,,,,,,,,
MIN,,22.1,26.7,,,,,,,24,53,,,,,23.9,40,,,,
MAX,,25.8,34.8,,,,,,,31.7,93,,,,,33.5,96,,,,
AVG,,23.99032258,33.06451613,,,,,,,29.46129032,64.64516129,,,,,30.79354839,61.29032258,,,,
