"Daily Weather Observations for Cairns, Queensland for June 2021",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday 11 May 2022   IDCJDW4024.202106,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Cairns Aero {station 031011},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/06/2021,19.5,26.4,10,,,SE,50,12:07,22.7,78,1,SSE,17,1017.9,25.2,63,8,SE,22,1015.4
,2/06/2021,19.2,27.2,4,,,S,35,0:06,23.1,71,1,S,15,1017.2,25.4,61,5,ESE,13,1013.5
,3/06/2021,18.3,27.5,0,,,NE,26,13:51,22.4,73,,SE,13,1016.5,26.2,65,,ENE,15,1012.9
,4/06/2021,17.8,28.1,0,,,ESE,30,12:16,23.1,77,,SE,7,1015.5,26.6,57,8,SE,13,1012.4
,5/06/2021,18.4,27.5,0,,,SE,46,14:29,23.4,53,,SSE,17,1017,25.6,56,2,SE,31,1015.2
,6/06/2021,17,26.2,0,,,SE,46,10:43,22.4,64,,SSE,20,1019.5,25,52,,SE,28,1015.7
,7/06/2021,20.5,27.1,0,,,SE,31,15:41,23.1,78,8,SSE,15,1018.1,25.9,60,8,SE,17,1014.9
,8/06/2021,19.7,27.4,4.8,,,ENE,24,14:30,23,80,1,SSE,17,1016.7,26.9,65,1,ENE,13,1012.2
,9/06/2021,18.4,27.2,0.2,,,S,26,23:05,23.7,75,1, ,Calm,1014.1,26.2,69,,NE,15,1010.9
,10/06/2021,20,24.8,0,,,SE,37,9:57,21.8,51,,SSE,17,1015.9,23.9,50,,ESE,13,1012.9
,11/06/2021,15.9,25,0,,,,,,20.3,73,8,SSE,4,1016.6,24.5,67,8,S,11,1013.9
,12/06/2021,20.2,26,,,,S,33,20:39,23.5,73,7,SE,15,1017.5,24.4,82,8,SSE,20,1014.2
,13/06/2021,21.5,27.7,1.2,,,S,30,0:54,22.9,93,8,ESE,9,1016.1,26.9,78,8,SSE,11,1012.1
,14/06/2021,22.1,29.1,0,,,SSE,19,0:05,24.9,84,8,SE,9,1014.1,26.8,79,,NNE,7,1011
,15/06/2021,19.7,28.6,0,,,ENE,17,15:08,24.3,86,8,SSW,4,1015,27.2,73,,NNE,9,1012.4
,16/06/2021,21.6,29,0,,,NNE,19,12:40,26.5,78,7,S,4,1017,27.5,73,,NNE,11,1013.5
,17/06/2021,20.2,28.3,0,,,NNE,19,12:22,24.9,86,,SE,9,1016.8,27.4,72,,NE,7,1013.2
,18/06/2021,19.9,29.3,0,,,SE,24,11:51,25.2,79,,SSE,7,1016.3,26.5,66,8,SE,9,1012.5
,19/06/2021,19.5,25.5,0,,,SSE,30,7:49,22.1,46,5,SSE,19,1018.1,24.5,48,,E,9,1014.7
,20/06/2021,14.5,24.7,0,,,ESE,30,11:50,19.1,59,,S,15,1018.4,23.6,47,,ESE,15,1015.6
,21/06/2021,12.9,26.2,0,,,E,28,13:45,20.3,61,,ESE,17,1019,24.7,57,7,E,19,1016.2
,22/06/2021,17.1,27.2,0,,,SE,41,15:31,21.6,66,4,S,19,1020.7,26,57,2,SE,26,1018
,23/06/2021,20.8,27.8,0,,,SE,41,13:28,23,77,6,SSE,17,1020,26.1,62,6,SE,20,1017
,24/06/2021,19.6,28.1,0.2,,,SSE,33,10:17,22.7,79,7,S,19,1018.1,27.2,58,5,ESE,20,1014.7
,25/06/2021,19.9,28.5,0.4,,,SSE,28,13:51,23.6,77,2,SSE,13,1016.8,26.9,60,8,ESE,17,1015.4
,26/06/2021,20.6,28.1,0,,,S,37,4:46,23.4,74,8,SSE,11,1017.4,25.7,70,7,SSE,11,1014.9
,27/06/2021,20.4,27,0.4,,,SSE,41,20:20,22.3,79,7,S,17,1018.9,24.8,65,8,SSE,20,1015.7
,28/06/2021,21,27.3,0,,,SSE,43,8:57,23.2,70,1,SSE,28,1018.3,26.1,63,3,SE,24,1015.1
,29/06/2021,20.9,27.6,0.2,,,SE,44,13:27,22.9,83,8,SSE,22,1017.8,26.1,71,8,SE,28,1015
,30/06/2021,21.8,25.5,19.2,,,S,31,19:48,22.5,92,8,S,17,1017.3,23.9,90,8,SSE,15,1015.1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MIN,,12.9,24.7,,,,,,,19.1,46,,,,,23.6,47,,,,
MAX,,22.1,29.3,,,,,,,26.5,93,,,,,27.5,90,,,,
AVG,,19.29666667,27.19666667,,,,,,,22.93,73.83333333,,,,,25.79,64.53333333,,,,
